a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
-0.17906,-0.323534,0.188796,-0.488343,,,0.598314,6
-0.230159,0.343795,-0.4449,-0.363838,,,0.622102,7
0.490449,-0.028404,0.058551,-0.245691,,,0.798813,7
-0.027715,0.208671,0.382705,0.418584,,,0.46844,6
0.194117,-0.420511,-0.460238,0.448569,,,0.614839,7
0.289081,0.016471,-0.243779,-0.208383,,,0.58407,6
0.377096,-0.30387,0.361138,0.348027,14.587963,,0.6618,5
-0.23246,0.47472,-0.000648,0.114414,,,0.359186,8
0.170879,0.08311,-0.142219,-0.048582,,2.38142,0.673776,8
0.422946,0.104292,-0.039195,-0.3567,,,0.656858,5
-0.117203,-0.233611,0.081803,-0.304289,,,0.798999,7
-0.365486,0.4104,-0.451862,-0.13859,0.088951,,0.934653,5
0.421132,0.042894,0.336452,0.010387,8.114699,,0.885614,8
-0.271258,0.139185,0.477921,0.212823,,,0.690175,8
0.199956,-0.363377,-0.164132,0.139813,,,0.763119,7
-0.469683,-0.274104,-0.046137,0.014641,,,0.859027,5
0.047651,0.48245,-0.156112,-0.437885,,,0.583488,5
0.101655,0.331837,0.419566,0.163644,,3.176296,0.847301,6
-0.247227,0.380675,0.227554,0.403388,,,0.678214,6
0.199539,-0.298287,0.317454,-0.268595,,,0.805906,7
-0.3223,-0.318563,0.084116,0.054431,,,0.78832,7
0.003758,-0.055081,0.177745,-0.275044,2.094054,,0.827554,8
-0.16341,-0.341616,-0.324086,-0.316125,3.812983,,0.764788,5
0.278429,-0.219443,0.377469,0.440156,,0.095515,0.440415,6
-0.045669,-0.280096,0.125784,0.368002,,,0.376696,6
0.478179,0.200763,0.289221,0.088527,5.799267,,0.756128,7
-0.299237,0.297405,0.153606,0.128182,,,0.494,7
-0.364406,-0.277749,-0.086491,0.265494,1.637235,,0.703391,7
-0.363312,0.187589,-0.137589,-0.415137,,,0.469217,5
0.49249,-0.480242,0.148683,-0.277964,4.738942,,0.490101,7
-0.115755,-0.166131,-0.17698,0.279793,4.669722,,0.897396,7
0.34747,-0.044008,-0.02572,-0.458828,,,0.459458,7
-0.039935,-0.479223,-0.366087,-0.289645,,,0.658494,7
-0.119828,0.211056,0.437598,-0.209217,,,0.35914,5
-0.185175,0.204194,0.254258,0.255137,,,0.837773,6
-0.106304,-0.158502,-0.044812,-0.265182,1.350115,,0.337838,6
-0.036269,0.219731,0.315117,-0.08216,0.176533,,0.673864,8
0.078415,-0.102715,-0.211031,0.4726,,,0.473403,8
-0.228182,0.196834,-0.248943,-0.15565,0.618022,,0.790974,7
0.321241,0.468828,0.194289,0.214007,3.389912,,0.836401,7
-0.451702,0.052672,-0.208175,-0.200462,,3.482437,0.525015,5
-0.423544,0.190618,0.024471,-0.094688,,,0.803972,6
0.235679,-0.089097,0.360273,0.065401,,,0.544997,5
0.280693,-0.380793,-0.179276,-0.199253,,,0.417324,5
0.363217,-0.478606,0.377351,-0.250655,,,0.73996,7
0.488142,-0.410636,-0.219121,0.244318,,,0.723369,7
-0.003278,0.0095,-0.184061,0.201703,,,0.564567,6
0.263026,-0.407737,0.147545,0.101594,2.323169,,0.789005,5
-0.117307,-0.36859,0.314014,0.195659,,,0.688468,6
0.011644,-0.133185,-0.380811,0.477252,,,0.722775,8
-0.134787,0.043172,-0.371641,0.260097,,,0.415454,7
-0.12046,-0.324258,0.499364,0.098802,,,0.458097,7
-0.006399,0.247649,-0.283339,-0.309563,,1.047517,0.325079,5
-0.261367,0.231697,-0.15818,0.054146,2.601218,,0.532813,7
0.375967,-0.010413,0.370847,0.279663,,,0.711081,7
0.024171,0.177334,0.109395,0.040134,,,0.696479,8
0.201431,0.198087,0.391128,-0.467917,,,0.828787,5
-0.423164,-0.457446,0.142786,-0.414484,,,0.679601,6
0.326053,-0.448419,0.309145,-0.498487,,,0.674398,7
-0.209755,0.328768,-0.469551,0.013734,,,0.439831,8
