a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
-0.17906,-0.323534,0.188796,-0.488343,1.7108254633258244,3.3009913035995773,0.598314,6.0
-0.230159,0.343795,-0.4449,-0.363838,5.212116201336791,4.950820301754934,0.622102,7.0
0.490449,-0.028404,0.058551,-0.245691,5.224732655492933,5.181282430862225,0.798813,7.0
-0.027715,0.208671,0.382705,0.418584,1.5155759178580923,4.024081362196569,0.46844,6.0
0.194117,-0.420511,-0.460238,0.448569,-3.809231014195828,3.2406742400673103,0.614839,7.0
0.289081,0.016471,-0.243779,-0.208383,1.8064097251487834,5.867032402675495,0.58407,6.0
0.377096,-0.30387,0.361138,0.348027,14.587963,3.650252976665335,0.6618,5.0
-0.23246,0.47472,-0.000648,0.114414,2.448399224919945,3.7408529201645555,0.359186,8.0
0.170879,0.08311,-0.142219,-0.048582,1.0197640680269653,2.38142,0.673776,8.0
0.422946,0.104292,-0.039195,-0.3567,4.656069023370183,1.210310139446211,0.656858,5.0
-0.117203,-0.233611,0.081803,-0.304289,5.69884351098113,6.082528601560657,0.798999,7.0
-0.365486,0.4104,-0.451862,-0.13859,0.088951,8.750564438075838,0.934653,5.0
0.421132,0.042894,0.336452,0.010387,8.114699,-0.7273595249344282,0.885614,8.0
-0.271258,0.139185,0.477921,0.212823,-0.9150499372342686,4.77770641211615,0.690175,8.0
0.199956,-0.363377,-0.164132,0.139813,2.537491291947264,1.7659474714255323,0.763119,7.0
-0.469683,-0.274104,-0.046137,0.014641,2.092568174084181,1.8925865122434988,0.859027,5.0
0.047651,0.48245,-0.156112,-0.437885,-0.8160054588709298,3.5642723480355505,0.583488,5.0
0.101655,0.331837,0.419566,0.163644,-4.610701002684589,3.176296,0.847301,6.0
-0.247227,0.380675,0.227554,0.403388,1.035640330635311,3.2187410353363872,0.678214,6.0
0.199539,-0.298287,0.317454,-0.268595,0.14519931679099907,4.032228726843633,0.805906,7.0
-0.3223,-0.318563,0.084116,0.054431,1.834611243318849,2.788995763654694,0.78832,7.0
0.003758,-0.055081,0.177745,-0.275044,2.094054,4.676590404217311,0.827554,8.0
-0.16341,-0.341616,-0.324086,-0.316125,3.812983,-0.11080512728673098,0.764788,5.0
0.278429,-0.219443,0.377469,0.440156,-1.7599962945189866,0.095515,0.440415,6.0
-0.045669,-0.280096,0.125784,0.368002,0.6024065967062495,-5.199838301050742,0.376696,6.0
0.478179,0.200763,0.289221,0.088527,5.799267,-0.5925888937122328,0.756128,7.0
-0.299237,0.297405,0.153606,0.128182,4.57155852689143,-0.9291660178376602,0.494,7.0
-0.364406,-0.277749,-0.086491,0.265494,1.637235,2.568261403031323,0.703391,7.0
-0.363312,0.187589,-0.137589,-0.415137,-1.5416023546252196,0.5225663102062081,0.469217,5.0
0.49249,-0.480242,0.148683,-0.277964,4.738942,2.5918261275974945,0.490101,7.0
-0.115755,-0.166131,-0.17698,0.279793,4.669722,-1.1049605068081783,0.897396,7.0
0.34747,-0.044008,-0.02572,-0.458828,2.513433170568064,1.5578674730874094,0.459458,7.0
-0.039935,-0.479223,-0.366087,-0.289645,1.9876108873157683,4.541748377606138,0.658494,7.0
-0.119828,0.211056,0.437598,-0.209217,4.081695734942847,6.5474125934962455,0.35914,5.0
-0.185175,0.204194,0.254258,0.255137,4.348279541299324,-2.142581952220031,0.837773,6.0
-0.106304,-0.158502,-0.044812,-0.265182,1.350115,6.32434301951341,0.337838,6.0
-0.036269,0.219731,0.315117,-0.08216,0.176533,3.513005763121454,0.673864,8.0
0.078415,-0.102715,-0.211031,0.4726,2.652700883491448,0.9847382287314412,0.473403,8.0
-0.228182,0.196834,-0.248943,-0.15565,0.618022,-3.6169336230912514,0.790974,7.0
0.321241,0.468828,0.194289,0.214007,3.389912,-0.9364793542674992,0.836401,7.0
-0.451702,0.052672,-0.208175,-0.200462,0.8347656216436086,3.482437,0.525015,5.0
-0.423544,0.190618,0.024471,-0.094688,-0.437936860787282,-5.213685096586097,0.803972,6.0
0.235679,-0.089097,0.360273,0.065401,3.5087735369360384,2.0456719750021266,0.544997,5.0
0.280693,-0.380793,-0.179276,-0.199253,-0.2685939810894058,4.803485802579765,0.417324,5.0
