a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
-0.17906,-0.323534,0.188796,-0.488343,1.9463258000000003,5.6764324,0.598314,6.0
-0.230159,0.343795,-0.4449,-0.363838,4.2668464,1.1676106000000002,0.622102,7.0
0.490449,-0.028404,0.058551,-0.245691,2.11127,1.5700049999999999,0.798813,7.0
-0.027715,0.208671,0.382705,0.418584,4.839284999999999,1.9667106,0.46844,6.0
0.194117,-0.420511,-0.460238,0.448569,0.9965107999999999,2.353906,0.614839,7.0
0.289081,0.016471,-0.243779,-0.208383,3.348959,5.477074200000001,0.58407,6.0
0.377096,-0.30387,0.361138,0.348027,14.587963,2.1655902,0.6618,5.0
-0.23246,0.47472,-0.000648,0.114414,3.3490041999999995,2.821761,0.359186,8.0
0.170879,0.08311,-0.142219,-0.048582,3.9374218,2.38142,0.673776,8.0
0.422946,0.104292,-0.039195,-0.3567,5.8206278,0.9782591999999999,0.656858,5.0
-0.117203,-0.233611,0.081803,-0.304289,1.9193696000000002,0.9507747999999999,0.798999,7.0
-0.365486,0.4104,-0.451862,-0.13859,0.088951,1.5692616000000001,0.934653,5.0
0.421132,0.042894,0.336452,0.010387,8.114699,3.8974908,0.885614,8.0
-0.271258,0.139185,0.477921,0.212823,2.5702824,2.565651,0.690175,8.0
0.199956,-0.363377,-0.164132,0.139813,2.3951795999999996,1.675225,0.763119,7.0
-0.469683,-0.274104,-0.046137,0.014641,2.8838232,1.8382652,0.859027,5.0
0.047651,0.48245,-0.156112,-0.437885,4.1041512,1.4632892,0.583488,5.0
0.101655,0.331837,0.419566,0.163644,3.1185858,3.176296,0.847301,6.0
-0.247227,0.380675,0.227554,0.403388,3.0145527999999997,1.7843482000000002,0.678214,6.0
0.199539,-0.298287,0.317454,-0.268595,1.0581676,1.675225,0.805906,7.0
-0.3223,-0.318563,0.084116,0.054431,3.6490312000000005,1.592126,0.78832,7.0
0.003758,-0.055081,0.177745,-0.275044,2.094054,4.427764,0.827554,8.0
-0.16341,-0.341616,-0.324086,-0.316125,3.812983,1.5879024,0.764788,5.0
0.278429,-0.219443,0.377469,0.440156,2.7216162,0.095515,0.440415,6.0
-0.045669,-0.280096,0.125784,0.368002,2.8164378,1.8807644,0.376696,6.0
0.478179,0.200763,0.289221,0.088527,5.799267,3.0292159999999995,0.756128,7.0
-0.299237,0.297405,0.153606,0.128182,3.2660836000000004,2.5805499999999997,0.494,7.0
-0.364406,-0.277749,-0.086491,0.265494,1.637235,2.9087982,0.703391,7.0
-0.363312,0.187589,-0.137589,-0.415137,4.1159996,2.4252374,0.469217,5.0
0.49249,-0.480242,0.148683,-0.277964,4.738942,2.270278,0.490101,7.0
-0.115755,-0.166131,-0.17698,0.279793,4.669722,1.5705339999999999,0.897396,7.0
0.34747,-0.044008,-0.02572,-0.458828,2.1108401999999997,0.62969,0.459458,7.0
-0.039935,-0.479223,-0.366087,-0.289645,1.4242067999999999,0.9507747999999999,0.658494,7.0
-0.119828,0.211056,0.437598,-0.209217,2.9171638,1.8079749999999997,0.35914,5.0
-0.185175,0.204194,0.254258,0.255137,2.6857254,2.0323376,0.837773,6.0
-0.106304,-0.158502,-0.044812,-0.265182,1.350115,6.0508916,0.337838,6.0
-0.036269,0.219731,0.315117,-0.08216,0.176533,4.2906846,0.673864,8.0
0.078415,-0.102715,-0.211031,0.4726,0.9180683999999999,4.079282000000001,0.473403,8.0
-0.228182,0.196834,-0.248943,-0.15565,0.618022,1.1858676000000001,0.790974,7.0
0.321241,0.468828,0.194289,0.214007,3.389912,2.2571098,0.836401,7.0
-0.451702,0.052672,-0.208175,-0.200462,2.4188628000000003,3.482437,0.525015,5.0
-0.423544,0.190618,0.024471,-0.094688,1.1448792,2.3158709999999996,0.803972,6.0
0.235679,-0.089097,0.360273,0.065401,3.1847382,2.9724975999999996,0.544997,5.0
0.280693,-0.380793,-0.179276,-0.199253,4.3917814,2.0101248,0.417324,5.0
0.363217,-0.478606,0.377351,-0.250655,2.2405314,1.675225,0.73996,7.0
0.488142,-0.410636,-0.219121,0.244318,1.400723,1.675225,0.723369,7.0
-0.003278,0.0095,-0.184061,0.201703,1.4931686,5.162692,0.564567,6.0
0.263026,-0.407737,0.147545,0.101594,2.323169,2.1655902,0.789005,5.0
-0.117307,-0.36859,0.314014,0.195659,2.8708280000000004,1.1043958,0.688468,6.0
0.011644,-0.133185,-0.380811,0.477252,0.944905,3.2296197999999996,0.722775,8.0
-0.134787,0.043172,-0.371641,0.260097,2.482834,1.6572518000000003,0.415454,7.0
