theta1,theta2,theta3,thetad1,thetad2,thetad3,tau1,tau2
-1.72471,0.43126220000000004,1.4246056,1.463927,1.78652,-1.306012,-0.546548,0.174273
-1.00955,0.44697339999999997,-1.268525,-1.254136,-0.686194,-0.696439,0.166884,0.422654
0.814468,0.514386,0.09536360000000002,1.792802,-1.283875,0.882526,0.569478,0.017709
-1.080973,0.7624314,-0.1284752,1.070865,0.471661,-0.92342,0.257615,0.129301
-0.079861,0.10563980000000002,-0.4605976,1.631279,-1.662347,-0.255982,-0.262064,-0.511565
0.573471,0.8167570000000002,-0.178222,1.705185,0.183158,-1.685231,-0.109429,0.423555
-0.282087,0.0060920000000000306,-1.2077,-0.619216,1.565945,1.084727,-0.089808,0.200275
-0.669447,0.08787700000000001,0.330453,0.846902,-1.305456,0.089888,-0.31433,-0.551831
1.68882,-0.21763059999999995,-0.238484,-0.790199,0.519607,-1.855506,-0.252097,0.206441
1.204706,0.06914999999999996,0.5828934,0.892088,0.378647,0.302443,0.420267,0.227619
1.565123,-0.2467126,0.355693,-0.940348,-0.96767,-0.241041,0.473131,-0.483799
-1.565407,0.5020988000000001,-0.017539000000000016,-0.122501,-0.498316,1.545057,0.198598,-0.566917
0.624275,0.1710694,-0.974793,-1.634921,0.772269,-0.271575,0.317389,0.358709
-1.634574,0.5754096000000001,-0.6105492,1.046152,-0.193979,0.77227,-0.083402,-0.140719
-1.624372,-1.0903836000000002,-1.066612,-0.626124,-1.441912,-1.221078,0.237093,-0.37589
0.060339,0.011067,-0.9875976,-1.289053,0.572133,-1.201165,-0.03457,-0.21317
0.036346,-0.00957659999999998,1.638453,-1.724643,0.766265,0.601132,-0.045218,-0.381317
1.582581,0.37470580000000003,0.004739,0.474936,1.349819,-0.908626,0.199056,-0.058021
-0.589034,-0.24339320000000003,0.9045808,-1.745977,0.353377,1.597023,-0.188837,0.215752
-0.319286,0.12754840000000006,1.152182,-1.318162,1.419595,-0.630087,-0.058468,0.131978
1.184342,0.20548380000000005,-0.03735400000000002,0.926615,0.112013,1.414081,0.301103,0.243008
-0.166433,0.15798700000000002,0.5241314,-0.414132,-1.059043,-1.577112,-0.088667,0.167163
1.243267,-1.034371,-0.23093079999999996,-1.252561,-0.612821,-0.279307,-0.24367,0.23626
0.218376,0.16611599999999999,0.22597899999999999,1.240698,1.032819,-1.858459,-0.448521,0.101594
-1.353258,0.33013919999999997,0.8396553999999998,1.243211,1.79909,-1.154164,-0.587488,-0.310911
-1.110326,-0.1361288,-0.9642334,-1.652889,0.369781,-1.677188,-0.279372,0.200247
-1.030848,0.4790251999999999,-0.416478,0.978165,-0.55647,0.559532,-0.59845,0.257114
-1.668316,1.211156,-1.616318,0.518116,-0.524956,-1.350214,0.57865,0.574234
-0.063563,1.0132976,0.15463759999999996,0.251874,-0.36102,-1.868386,0.4437,0.460932
-0.046344,0.22657080000000002,0.030931599999999993,0.438147,1.303842,-0.828917,-0.567293,-0.491623
-1.031799,-0.6831026,-0.6036842,0.219404,0.54774,-0.264939,-0.181937,-0.214604
-0.064734,0.727251,0.145801,-1.865117,-0.21823,0.337436,0.427223,-0.460014
0.181111,1.614095,-0.191095,0.237403,1.462755,0.925479,-0.041114,0.197588
1.832537,0.012894000000000006,0.468028,-1.653906,-1.648823,0.840852,-0.380964,0.345086
0.67479,0.028023999999999973,-0.5130144000000001,0.08258,0.591286,0.265445,0.487763,-0.562825
1.294914,-0.02822739999999997,-0.2996946000000001,1.10753,-1.564332,-0.371603,0.383218,0.337412
-0.941888,-0.09202239999999999,1.0209766,0.438853,1.849369,-0.575895,-0.544606,0.409407
-1.819163,-0.5769126000000001,-0.46921279999999993,0.129236,0.60105,-1.52093,0.474294,-0.138446
1.047457,0.4868296,0.22219,-1.635999,1.500205,0.783054,0.011077,0.167757
1.69529,-0.3956958,-0.71587,-1.846289,-0.435891,-1.084435,0.451187,0.304151
0.016842,0.9947598000000001,-0.25421360000000004,-0.936738,-0.611127,1.802688,-0.315443,-0.055345
-1.803471,-0.844686,-0.21829280000000004,-0.826778,0.241953,-1.236353,0.116565,-0.488197
1.606648,0.3187354,0.7134182,-0.814647,0.54629,1.77039,-0.307852,0.330803
-0.765121,-0.2693872,-0.08418499999999998,0.452953,1.329448,-0.237767,-0.015239,-0.525609
-1.424865,-0.33072740000000006,-0.07889060000000003,-1.175828,-0.27395,-1.222542,-0.395997,-0.328686
-0.88244,-0.4505640000000001,-0.41038499999999994,-1.629161,-0.447821,-1.785381,0.510339,-0.336922
1.37128,-0.5264264,-0.035922600000000006,-1.437674,-1.634061,0.135921,-0.043556,-0.048194
1.647118,-0.6289138,-0.168066,-1.028774,-1.789333,-0.739786,-0.130112,-0.389115
1.293592,0.388976,0.05613660000000005,1.291884,1.77594,1.83648,0.461243,0.105679
-1.730773,-0.40628640000000005,-0.32135220000000003,-1.453621,1.791647,-1.833494,-0.086856,-0.589376
1.776175,0.7733662000000001,-0.042498000000000036,0.598047,0.789477,-1.353601,0.456141,-0.434472
0.186399,0.04464000000000001,0.496915,1.44419,1.81605,1.142434,0.232923,0.339969
1.511233,1.404917,1.492546,0.229302,1.030867,-0.734521,0.436102,-0.032281
-0.89517,0.588971,-0.945497,-0.78622,-0.460659,1.09867,0.101402,0.258617
-0.969762,0.504689,0.7400776,0.570745,1.860073,-1.633524,0.515427,-0.022067
0.392133,0.6673435999999999,0.6665596,-1.347807,0.804843,0.556048,-0.03656,-0.061075
-0.498569,-0.9762044,1.235883,-0.726237,1.11436,0.130505,-0.217902,0.118659
-1.511419,0.5064826,-0.6765102,0.724085,0.425836,1.733704,0.229291,0.48593
