no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests
2,0,2,2,0,0,0,109,2018,4,28,1,0,0,0,77.89,1
2,0,2,3,0,0,0,111,2018,2,7,0,0,0,0,87.0,0
2,1,0,1,0,1,0,7,2017,8,28,1,0,0,0,164.0,2
2,0,2,2,0,0,0,52,2018,3,7,0,0,0,0,48.4,0
2,0,2,4,0,0,0,1,2018,1,29,0,0,0,0,60.0,0
2,0,1,2,0,0,0,23,2018,1,1,0,0,0,0,60.0,1
2,0,2,3,0,0,0,5,2018,5,12,0,0,0,0,110.0,0
2,0,0,2,2,0,0,320,2018,3,18,0,0,0,0,115.0,1
2,0,2,3,0,0,0,72,2018,4,2,1,0,0,0,61.56,0
2,2,1,2,0,0,3,82,2018,10,10,1,0,0,0,190.8,0
2,0,1,2,0,0,1,100,2018,10,26,1,0,0,0,101.87,1
2,0,2,4,0,0,1,82,2018,4,9,1,0,0,0,95.2,1
3,0,2,2,0,0,1,55,2018,7,31,1,0,0,0,142.2,1
1,0,1,2,0,1,0,3,2018,12,12,2,1,2,18,67.0,0
1,0,0,2,2,0,0,63,2017,9,4,0,0,0,0,80.5,0
2,0,2,2,0,0,0,238,2018,12,26,1,0,0,0,54.09,1
1,0,0,1,0,0,0,55,2018,7,7,2,0,0,0,89.0,0
2,0,0,4,0,0,0,245,2018,9,28,1,0,0,0,96.3,1
2,0,1,3,0,0,0,105,2018,7,24,0,0,0,0,72.25,0
2,0,2,2,0,0,0,237,2017,9,14,1,0,0,0,89.25,0
2,0,0,4,0,0,1,148,2018,10,25,1,0,0,0,104.4,1
2,0,0,4,1,0,0,51,2017,12,28,1,0,0,0,62.21,1
2,0,2,5,0,0,2,66,2017,10,1,1,0,0,0,68.72,1
1,0,1,2,0,0,0,114,2018,7,1,0,0,0,0,75.0,1
1,0,1,3,0,0,0,85,2018,9,8,0,0,0,0,85.0,0
2,0,0,4,0,0,1,213,2018,8,31,1,0,0,0,118.15,1
3,0,0,1,0,0,1,3,2018,3,22,1,0,0,0,119.0,1
2,0,0,2,0,0,0,143,2018,8,7,1,0,0,0,96.3,1
1,0,0,2,1,0,0,14,2018,5,22,0,0,0,0,98.8,0
1,0,2,2,2,0,0,115,2018,2,27,0,0,0,0,76.0,0
2,0,0,3,0,0,0,146,2017,12,29,0,0,0,0,85.0,0
3,0,1,2,0,0,1,94,2018,7,25,1,0,0,0,130.05,2
2,0,0,3,0,0,0,317,2018,9,15,0,0,0,0,120.0,0
2,1,1,2,0,0,2,222,2018,8,17,1,0,0,0,94.78,1
2,0,1,3,0,0,0,12,2017,9,12,0,0,0,0,95.0,0
2,0,2,3,0,0,0,170,2018,8,8,1,0,0,0,114.3,0
2,0,0,3,0,0,0,94,2018,4,26,1,0,0,0,96.3,0
2,0,0,5,0,0,0,140,2017,11,13,0,0,0,0,70.0,0
2,0,1,3,2,0,0,31,2018,12,12,1,0,0,0,120.7,4
1,0,0,2,0,0,0,119,2018,3,29,0,0,0,0,90.0,0
2,0,0,3,1,0,0,118,2018,10,25,1,0,0,0,80.1,1
2,0,0,2,0,0,1,83,2018,10,31,1,0,0,0,132.3,0
2,0,2,2,0,0,0,179,2018,9,3,1,0,0,0,113.4,0
1,0,0,1,0,0,0,17,2018,10,30,0,0,0,0,95.0,0
2,0,0,3,0,0,0,2,2018,9,13,0,0,0,0,95.0,0
2,0,1,0,1,0,0,159,2018,8,27,1,0,0,0,85.5,0
2,0,0,2,0,1,1,8,2018,3,22,1,0,0,0,116.0,1
2,0,1,1,2,0,0,247,2018,6,6,0,1,1,0,115.0,0
2,0,0,3,0,0,1,101,2018,5,6,1,0,0,0,114.3,1
2,0,2,5,1,0,2,15,2017,8,14,1,0,0,0,85.29,2
2,0,0,1,2,0,0,8,2018,8,5,1,0,0,0,115.0,1
2,0,0,3,2,0,0,183,2018,8,9,1,0,0,0,123.25,1
2,0,2,2,0,0,0,222,2018,8,28,1,0,0,0,90.95,0
1,0,1,2,0,0,0,80,2018,9,11,0,0,0,0,96.0,0
2,0,0,4,0,0,1,20,2018,1,30,1,0,0,0,91.25,2
3,0,0,3,0,0,1,13,2018,7,9,1,0,0,0,148.5,1
2,0,0,4,0,0,0,109,2018,5,6,0,0,0,0,75.0,0
1,0,2,0,0,0,0,386,2018,10,23,1,0,0,0,90.0,0
2,0,1,3,2,0,0,71,2018,5,10,0,0,0,0,98.0,0
1,0,0,1,2,0,0,247,2018,6,6,0,0,0,0,90.0,0
2,1,0,4,0,0,1,74,2018,9,4,1,0,0,0,119.16,3
2,0,2,3,0,0,1,212,2018,5,31,0,0,0,0,90.95,0
1,0,2,5,0,0,0,179,2018,10,1,1,0,0,0,108.9,2
2,0,2,2,0,0,2,66,2018,6,19,1,0,0,0,109.83,1
2,0,2,5,0,0,0,114,2018,9,12,1,0,0,0,129.6,1
2,0,2,6,0,0,1,87,2018,5,1,1,0,0,0,132.6,2
1,2,0,1,0,0,1,238,2018,6,18,1,0,0,0,178.2,1
2,0,0,3,0,0,1,164,2018,8,23,1,0,0,0,121.8,2
2,1,2,1,0,0,0,122,2018,7,25,1,0,0,0,121.5,2
3,0,0,4,0,0,0,136,2018,8,11,0,0,0,0,86.36,1
2,1,1,2,0,0,0,156,2018,12,30,1,0,0,0,124.8,0
2,0,2,1,1,0,0,76,2018,8,28,0,0,0,0,75.0,0
2,0,0,3,1,0,0,164,2018,8,9,1,0,0,0,94.5,1
2,0,2,3,2,0,0,256,2018,10,16,1,0,0,0,100.75,1
2,0,1,1,0,0,0,107,2018,5,30,0,0,0,0,89.75,1
2,0,2,2,0,0,0,141,2018,4,22,1,0,0,0,99.3,1
2,0,0,2,2,0,0,103,2017,7,18,1,0,0,0,94.5,0
2,0,1,4,0,0,0,60,2018,9,12,0,0,0,0,75.0,0
2,1,0,1,0,0,0,0,2018,12,26,1,0,0,0,149.0,2
2,0,2,5,0,0,0,107,2017,8,13,1,0,0,0,76.5,0
2,1,0,1,0,0,0,24,2018,3,24,1,0,0,0,159.0,1
2,0,0,4,0,0,0,3,2017,11,1,0,0,0,0,88.8,0
2,0,1,1,0,0,0,36,2018,8,19,0,0,0,0,72.0,0
2,0,0,0,0,0,5,4,2018,5,21,4,0,0,0,0.0,2
1,0,0,1,0,0,0,3,2018,2,19,2,1,0,1,66.0,1
2,0,0,4,0,1,1,64,2018,4,26,0,0,0,0,94.78,0
2,0,2,3,1,0,0,277,2018,10,20,0,0,0,0,84.15,0
2,0,1,1,0,0,0,124,2018,8,8,1,0,0,0,114.3,1
2,0,2,2,0,0,1,157,2018,8,19,1,0,0,0,122.4,0
1,0,0,3,0,0,0,230,2018,9,6,0,0,0,0,112.0,0
2,0,0,1,1,0,0,179,2018,7,18,1,0,0,0,89.25,0
2,0,2,3,0,0,0,67,2018,4,1,0,0,0,0,80.0,0
2,0,1,2,0,0,0,117,2018,8,1,0,0,0,0,72.25,0
2,0,0,2,0,1,2,2,2017,12,16,1,0,0,0,91.5,0
2,0,0,2,1,0,0,156,2018,8,13,1,0,0,0,94.5,0
1,0,1,0,0,0,4,3,2018,5,16,1,0,0,0,197.0,2
2,0,0,1,0,0,2,11,2018,6,11,1,0,0,0,127.6,1
2,0,0,1,0,0,0,66,2017,10,9,0,0,0,0,75.0,0
2,0,2,1,1,0,0,72,2018,3,13,1,0,0,0,63.75,0
1,0,2,2,2,0,0,74,2017,9,18,0,0,0,0,83.0,0
2,0,2,3,1,0,0,161,2018,9,2,1,0,0,0,97.75,0
2,0,1,2,0,0,0,88,2018,12,30,0,0,0,0,68.0,1
1,0,0,2,0,0,0,63,2017,9,4,0,0,0,0,80.5,0
3,0,0,1,0,0,0,53,2018,5,7,1,0,0,0,159.3,2
2,1,2,3,0,0,1,66,2018,9,19,1,0,0,0,149.4,0
2,0,1,2,0,0,0,305,2018,11,4,1,0,0,0,89.0,3
2,0,2,3,0,0,0,169,2018,8,27,1,0,0,0,90.95,0
1,0,2,3,0,0,0,117,2018,6,5,0,0,0,0,110.0,0
2,0,0,2,2,0,0,105,2018,4,12,0,0,0,0,110.0,0
2,0,1,5,0,0,0,125,2018,7,15,1,0,0,0,76.5,0
2,0,1,1,0,0,5,18,2018,7,7,1,0,0,0,191.0,0
2,0,1,3,0,0,0,78,2018,9,29,0,0,0,0,95.0,2
2,0,2,2,0,0,0,136,2018,7,21,1,0,0,0,93.08,1
2,0,0,3,0,0,0,197,2018,4,23,1,0,0,0,106.2,0
2,0,0,5,0,0,1,148,2018,5,18,0,0,0,0,88.12,0
2,0,1,2,0,0,0,107,2018,4,11,1,0,0,0,102.3,1
2,0,2,6,2,0,0,107,2018,5,21,1,0,0,0,141.0,1
2,0,0,1,0,0,0,18,2018,9,23,0,0,0,0,65.0,0
1,0,1,1,0,0,0,180,2017,10,10,0,0,0,0,70.0,0
2,0,1,2,1,0,0,178,2018,7,18,1,0,0,0,88.5,1
2,2,1,0,0,0,5,18,2018,7,11,1,0,0,0,296.0,0
2,1,1,1,2,0,0,184,2018,8,17,1,0,0,0,164.25,0
2,0,1,0,0,0,0,150,2017,8,21,1,0,0,0,76.5,1
1,0,2,0,0,0,0,116,2018,2,28,0,0,0,0,61.0,0
2,0,0,3,0,0,0,151,2018,10,19,1,0,0,0,200.0,0
2,0,1,1,0,0,0,33,2018,1,25,2,0,0,0,62.0,0
2,0,1,2,0,0,0,254,2018,9,3,1,0,0,0,100.3,1
1,0,0,2,0,0,0,2,2017,10,14,0,0,0,0,90.0,0
2,0,1,2,0,0,1,88,2018,4,1,1,0,0,0,109.8,1
2,0,0,3,0,0,0,53,2018,1,14,0,0,0,0,52.0,1
2,0,0,4,0,0,1,88,2018,5,23,1,0,0,0,132.6,1
2,0,2,5,1,0,0,95,2018,11,20,1,0,0,0,79.2,2
