no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests
2.0,0.0,2.0,2.0,0.0,0.0,0.0,36.516513594432894,2018.0,4.0,28.0,1.7581106934229132,0.0,0.0,0.0,-7.737119598755854,-0.6373672855418139
2.0,0.0,2.0,3.0,0.0,0.0,0.0,111.0,2018.0,2.0,7.0,-0.05319875972448984,0.0,0.0,0.0,87.0,0.7095812838183737
2.0,1.0,0.0,1.0,0.0,1.0,0.0,203.02500114543426,2017.0,8.0,28.0,0.9660913328144054,0.0,0.0,0.0,164.0,0.11775733852177328
2.0,0.0,2.0,2.0,0.0,0.0,0.0,86.43156020375116,2018.0,3.0,7.0,1.2058964114719584,0.0,0.0,0.0,48.4,-0.5255712165261874
2.0,0.0,2.0,4.0,0.0,0.0,0.0,-0.4275307640089494,2018.0,1.0,29.0,0.7239178360497576,0.0,0.0,0.0,60.0,-0.03703470160868372
2.0,0.0,1.0,2.0,0.0,0.0,0.0,151.40187243084574,2018.0,1.0,1.0,-0.6494077134050004,0.0,0.0,0.0,60.0,0.15230385626377557
2.0,0.0,2.0,3.0,0.0,0.0,0.0,93.8822740241746,2018.0,5.0,12.0,-0.44074545997821246,0.0,0.0,0.0,110.0,0.16737071378872315
2.0,0.0,0.0,2.0,2.0,0.0,0.0,190.2993695458351,2018.0,3.0,18.0,0.7052135076219288,0.0,0.0,0.0,115.0,-0.9315433034718945
2.0,0.0,2.0,3.0,0.0,0.0,0.0,35.6623410096762,2018.0,4.0,2.0,0.1411179795795674,0.0,0.0,0.0,101.03696694744924,-0.3413322645551601
2.0,2.0,1.0,2.0,0.0,0.0,3.0,67.49161732533227,2018.0,10.0,10.0,1.0,0.0,0.0,0.0,190.8,0.7600378262668706
2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.345408466849122,2018.0,10.0,26.0,-0.31155924690399694,0.0,0.0,0.0,101.87,0.7075114740943436
2.0,0.0,2.0,4.0,0.0,0.0,1.0,81.68582140559411,2018.0,4.0,9.0,-0.48103313620766885,0.0,0.0,0.0,95.2,0.4789386624035918
3.0,0.0,2.0,2.0,0.0,0.0,1.0,22.874708041513003,2018.0,7.0,31.0,1.0,0.0,0.0,0.0,142.2,-0.7804619284748051
1.0,0.0,1.0,2.0,0.0,1.0,0.0,94.36768157481772,2018.0,12.0,12.0,2.0,1.0,2.0,18.0,67.0,-0.2552859575204845
1.0,0.0,0.0,2.0,2.0,0.0,0.0,136.51640969325746,2017.0,9.0,4.0,0.3127591125218133,0.0,0.0,0.0,80.5,0.32490087289924513
2.0,0.0,2.0,2.0,0.0,0.0,0.0,32.76318656644537,2018.0,12.0,26.0,-0.11528205938513303,0.0,0.0,0.0,54.09,0.6095546263269219
1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.34462507139195,2018.0,7.0,7.0,2.0,0.0,0.0,0.0,89.0,-0.34271545180405594
2.0,0.0,0.0,4.0,0.0,0.06849259094581259,0.0,137.50393849942634,2018.0,9.0,28.0,1.0,0.0,0.0,0.0,96.3,0.22289050896703924
2.0,0.0,1.0,3.0,0.0,0.0,0.0,91.7448082105695,2018.0,7.0,24.0,0.0,0.0,0.0,0.0,72.25,0.5164998770026756
2.0,0.0,2.0,2.0,0.0,0.0,0.0,62.5845751553784,2017.0,9.0,14.0,1.0,0.0,0.0,0.0,89.25,-0.35983525202844097
2.0,0.0,0.0,4.0,0.0,0.0,1.0,48.936510869909704,2018.0,10.0,25.0,0.6096794616850797,0.0,0.0,0.0,104.4,-0.4438902096644544
2.0,0.0,0.0,4.0,1.0,0.0,0.0,54.74075730601974,2017.0,12.0,28.0,-0.27069869030758575,0.0,0.0,0.0,62.21,-0.41095307979707124
2.0,0.0,2.0,5.0,0.0,0.0,2.0,14.830224745344978,2017.0,10.0,1.0,0.614517402521388,0.0,0.0,0.0,68.72,0.36721557472051103
1.0,0.0,1.0,2.0,0.0,0.0,0.0,54.856292617310714,2018.0,7.0,1.0,0.14893731666308974,0.0,0.0,0.0,75.0,0.5263650636248441
1.0,0.0,1.0,3.0,0.0,0.0,0.0,123.04607961690688,2018.0,9.0,8.0,0.705085225771558,0.0,0.0,0.0,85.0,0.5426755061008943
2.0,0.0,0.0,4.0,0.0,0.0,1.0,112.49870997931424,2018.0,8.0,31.0,1.0,0.0,0.0,0.0,118.15,1.0
3.0,0.0,0.0,1.0,0.0,0.0,1.0,76.08269753899417,2018.0,3.0,22.0,1.0,0.0,0.0,0.0,124.42965768101138,-0.5697361846114775
2.0,0.0,0.0,2.0,0.0,0.0,0.0,48.467281914564644,2018.0,8.0,7.0,1.0,0.0,0.0,0.0,95.05214822860908,0.9055229151479758
1.0,0.0,0.0,2.0,1.0,0.0,0.0,75.50493056478676,2018.0,5.0,22.0,0.9844480155940444,0.0,0.0,0.0,98.8,0.7485666520629537
1.0,0.0,2.0,2.0,2.0,0.0,0.0,123.11446912955012,2018.0,2.0,27.0,0.39669030544595196,0.0,0.0,0.0,76.0,0.19473873749638565
2.0,0.0,0.0,3.0,0.0,0.0,0.0,73.11224213714648,2017.0,12.0,29.0,0.0,0.0,0.0,0.0,85.0,0.051377796393948516
3.0,0.0,1.0,2.0,0.0,0.0,1.0,94.0,2018.2308049896405,7.0,25.0,-0.22960281505150593,0.0,0.0,0.0,102.59883218105348,2.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0,69.96522293169264,2018.0,9.0,15.0,1.0263557546023026,0.0,0.0,0.0,120.0,0.8211021207841241
2.0,1.0,1.0,2.0,0.0,0.0,2.0,24.743089473038367,2018.0,8.0,17.0,0.13736252770087376,0.0,0.0,0.0,94.78,0.7403990623257473
2.0,0.0,1.0,3.0,0.0,0.0,0.0,109.30090603077436,2017.0,9.0,12.0,0.0,0.0,0.0,0.0,95.0,-0.3302532435660536
2.0,0.0,2.0,3.0,0.0,0.0,0.0,130.69434304151432,2018.0,8.0,8.0,1.0,0.0,0.0,0.0,114.3,-0.06034437311008406
2.0,0.0,0.0,3.0,0.0,0.0,0.0,94.0,2018.0,4.0,26.0,0.520111304314874,0.0,0.0,0.0,96.3,-0.003162561717399315
2.0,0.0,0.0,5.0,0.0,0.0,0.0,107.62086826169188,2017.0,11.0,13.0,-0.696831296315892,0.0,0.0,0.0,70.0,-0.019561631914996325
2.0,0.0,1.0,3.0,2.0,0.0,0.0,67.5726741803737,2018.0,12.0,12.0,1.0,0.0,0.0,0.0,120.7,0.45808472251320564
1.0,0.0,0.0,2.0,0.0,0.0,0.0,86.75376831493192,2018.0,3.0,29.0,0.0,0.0,0.0,0.0,90.0,0.7646013485858449
2.0,0.0,0.0,3.0,1.0,0.0,0.0,34.70185143754687,2018.0,10.0,25.0,1.0,0.0,0.0,0.0,80.1,0.6382099274722731
2.0,0.0,0.0,2.0,0.0,0.0,1.0,-3.691538257125899,2018.0,10.0,31.0,0.835335152875945,0.0,0.0,0.0,132.3,0.40433355945045896
2.0,0.0,2.0,2.0,0.0,0.0,0.0,145.7909447862446,2018.0,9.0,3.0,0.10395693440198661,0.0,0.0,0.0,113.4,0.13516179161777298
1.0,0.0,0.0,1.0,0.0,0.16322042088504268,0.0,97.55440717887807,2018.0,10.0,30.0,0.4409188035466438,0.0,0.0,0.0,95.0,-0.10758130455077924
2.0,0.0,0.0,3.0,0.0,0.0,0.0,76.54087184266345,2018.0,9.0,13.0,0.6898406058181574,0.0,0.0,0.0,95.0,0.5518766786432932
2.0,0.0,1.0,0.0,1.0,0.0,0.0,45.35420790508171,2018.0,8.0,27.0,0.7718476081493779,0.0,0.0,0.0,85.5,0.2660267907898063
2.0,0.0,0.0,2.0,0.0,1.0,1.0,88.38837259434216,2018.0,3.0,22.0,0.793483566291699,0.0,0.0,0.0,116.0,-0.15625076786553344
2.0,0.0,1.0,1.0,2.0,0.0,0.0,247.0,2018.0,6.0,6.0,0.0,1.0,1.0,0.0,115.0,-0.6256987681503654
2.0,0.0,0.0,3.0,0.0,0.0,1.0,166.85785632003416,2018.0,5.0,6.0,1.0,0.0,0.0,0.0,114.3,0.04144757654536374
2.0,0.0,2.0,5.0,1.0,-0.06657414719439508,2.0,69.90898065312007,2017.0,8.0,14.0,0.32567533626303113,0.0,0.0,0.0,85.29,-1.528929355419777
2.0,0.0,0.0,1.0,2.0,0.0,0.0,209.12717751695243,2018.0,8.0,5.0,0.6965057389989894,0.0,0.0,0.0,115.0,-0.4421196824316926
2.0,0.0,0.0,3.0,2.0,0.0,0.0,55.47911890601574,2018.0,8.0,9.0,0.5622501517020277,0.0,0.0,0.0,123.25,-1.0228191392971202
2.0,0.0,2.0,2.0,0.0,0.0,0.0,19.1335629302165,2018.0,8.0,28.0,1.0,0.0,0.0,0.0,90.95,0.7014574324576035
1.0,0.0,1.0,2.0,0.0,0.0,0.0,95.91486497853711,2018.0,9.0,11.0,0.6072599688650865,0.0,0.0,0.0,96.0,0.539860666707239
2.0,0.0,0.0,4.0,0.0,0.0,1.0,113.6096536961367,2018.0,1.0,30.0,1.0,0.0,0.0,0.0,91.25,-0.17227907919411944
3.0,0.0,0.0,3.0,0.0,0.0,1.0,49.30862920532384,2018.0,7.0,9.0,1.0,0.0,0.0,0.0,148.5,0.027916838978395697
2.0,0.0,0.0,4.0,0.0,0.0,0.0,5.815710936541947,2018.0,5.0,6.0,0.21030206729935685,0.0,0.0,0.0,75.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0,0.0,8.171942259040222,2018.0,10.0,23.0,-0.29776080525984183,0.0,0.0,0.0,90.0,0.32678208359177974
2.0,0.0,1.0,3.0,2.0,0.0,0.0,76.41488625888329,2018.0,5.0,10.0,0.2895171110053356,0.0,0.0,0.0,98.0,0.6580635401631936
1.0,0.0,0.0,1.0,2.0,0.0,0.0,178.9245735635168,2018.0,6.0,6.0,1.0921296818665656,0.0,0.0,0.0,90.0,0.323302187938174
2.0,1.0,0.0,4.0,0.0,-0.16071544273435745,1.0,118.99906890657707,2018.1163130595924,9.0,4.0,-0.2586620369721775,0.0,0.0,0.0,119.16,0.035831592059152984
2.0,0.0,2.0,3.0,0.0,0.0,1.0,76.66671119380787,2018.146346762471,5.0,31.0,1.1617726058122413,0.0,0.0,0.0,90.95,0.3623273144231455
1.0,0.0,2.0,5.0,0.0,0.0,0.0,124.20854436442944,2018.0,10.0,1.0,1.0,0.0,0.0,0.0,108.9,0.05690058494587827
2.0,0.0,2.0,2.0,0.0,0.0,2.0,136.57073628817352,2018.0,6.0,19.0,1.0774267049802901,0.0,0.0,0.0,109.83,1.0
2.0,0.0,2.0,5.0,0.0,0.0,0.0,41.16080344694536,2018.0,9.0,12.0,0.028626676097385007,0.0,0.0,0.0,129.6,-0.035929940356440926
2.0,0.0,2.0,6.0,0.0,0.0,1.0,86.59931490525572,2018.0,5.0,1.0,1.0111020083040847,0.0,0.0,0.0,132.6,-1.004607401081003
1.0,2.0,0.0,1.0,0.0,0.0,1.0,238.0,2018.0,6.0,18.0,0.16967296427085954,0.0,0.0,0.0,178.2,0.2746145076174489
2.0,0.0,0.0,3.0,0.0,0.0,1.0,117.10540317249256,2018.0,8.0,23.0,1.0,0.0,0.0,0.0,121.8,0.052714797478276315
2.0,1.0,2.0,1.0,0.0,0.0,0.0,37.46545528501744,2018.0,7.0,25.0,-0.008403600928965194,0.0,0.0,0.0,107.57098694085067,0.30261332327661566
3.0,0.0,0.0,4.0,0.0,0.0,0.0,19.09844158905065,2018.0,8.0,11.0,-0.14968569560971967,0.0,0.0,0.0,86.36,0.2743896902062267
2.0,1.0,1.0,2.0,0.0,0.0,0.0,82.05435543052143,2018.0,12.0,30.0,1.078376294791867,0.0,0.0,0.0,124.8,1.050449903566367
2.0,0.0,2.0,1.0,1.0,0.0,0.0,99.02046287428124,2018.0,8.0,28.0,1.3252060016372598,0.0,0.0,0.0,75.0,-0.6505316917912403
2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.948397273811409,2018.0,8.0,9.0,1.3786397979199108,0.0,0.0,0.0,94.5,0.13566177268734744
2.0,0.0,2.0,3.0,2.0,0.0,0.0,142.38989970923055,2018.0,10.0,16.0,1.0,0.0,0.0,0.0,100.75,-0.09989657653620304
2.0,0.0,1.0,1.0,0.0,0.0,0.0,58.20732977300132,2018.0,5.0,30.0,0.05549470234644427,0.0,0.0,0.0,89.75,1.1805099602502367
2.0,0.0,2.0,2.0,0.0,0.0,0.0,44.58934665716659,2018.0,4.0,22.0,0.4833449417932928,0.0,0.0,0.0,99.3,-0.44673767963447886
2.0,0.0,0.0,2.0,2.0,0.0,0.0,52.7471478857291,2017.0,7.0,18.0,1.3928905541560037,0.0,0.0,0.0,94.5,0.25841445103817917
2.0,0.0,1.0,4.0,0.0,0.0,0.0,60.0,2018.0,9.0,12.0,0.17796037609882587,0.0,0.0,0.0,75.0,0.6796164427026568
