no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests
2.0,0.0,2.0,2.0,0.0,0.0,0.0,109.6,2018.0,4.0,28.0,0.8,0.0,0.0,0.0,85.17,0.4
2.0,0.0,2.0,3.0,0.0,0.0,0.0,111.0,2018.0,2.0,7.0,0.6,0.0,0.0,0.0,87.0,0.0
2.0,1.0,0.0,1.0,0.0,1.0,0.0,59.6,2017.0,8.0,28.0,0.8,0.0,0.0,0.0,164.0,0.6
2.0,0.0,2.0,2.0,0.0,0.0,0.0,142.2,2018.0,3.0,7.0,0.4,0.0,0.0,0.0,48.4,0.4
2.0,0.0,2.0,4.0,0.0,0.0,0.0,57.2,2018.0,1.0,29.0,0.8,0.0,0.0,0.0,60.0,0.8
2.0,0.0,1.0,2.0,0.0,0.0,0.0,142.2,2018.0,1.0,1.0,0.4,0.0,0.0,0.0,60.0,0.2
2.0,0.0,2.0,3.0,0.0,0.0,0.0,56.4,2018.0,5.0,12.0,0.8,0.0,0.0,0.0,110.0,0.6
2.0,0.0,0.0,2.0,2.0,0.0,0.0,75.0,2018.0,3.0,18.0,0.2,0.0,0.0,0.0,115.0,1.0
2.0,0.0,2.0,3.0,0.0,0.0,0.0,80.4,2018.0,4.0,2.0,0.8,0.0,0.0,0.0,108.92,0.8
2.0,2.0,1.0,2.0,0.0,0.0,3.0,112.8,2018.0,10.0,10.0,1.0,0.0,0.0,0.0,190.8,1.0
2.0,0.0,1.0,2.0,0.0,0.0,1.0,115.4,2018.0,10.0,26.0,0.8,0.0,0.0,0.0,101.87,0.6
2.0,0.0,2.0,4.0,0.0,0.0,1.0,110.0,2018.0,4.0,9.0,0.4,0.0,0.0,0.0,95.2,0.0
3.0,0.0,2.0,2.0,0.0,0.0,1.0,57.2,2018.0,7.0,31.0,1.0,0.0,0.0,0.0,142.2,0.6
1.0,0.0,1.0,2.0,0.0,1.0,0.0,110.6,2018.0,12.0,12.0,2.0,1.0,2.0,18.0,67.0,0.0
1.0,0.0,0.0,2.0,2.0,0.0,0.0,120.0,2017.0,9.0,4.0,0.6,0.0,0.0,0.0,80.5,0.0
2.0,0.0,2.0,2.0,0.0,0.0,0.0,41.6,2018.0,12.0,26.0,0.8,0.0,0.0,0.0,54.09,0.8
1.0,0.0,0.0,1.0,0.0,0.0,0.0,143.4,2018.0,7.0,7.0,2.0,0.0,0.0,0.0,89.0,0.0
2.0,0.0,0.0,4.0,0.0,0.0,0.0,75.4,2018.0,9.0,28.0,1.0,0.0,0.0,0.0,96.3,0.6
2.0,0.0,1.0,3.0,0.0,0.0,0.0,64.2,2018.0,7.0,24.0,0.0,0.0,0.0,0.0,72.25,1.4
2.0,0.0,2.0,2.0,0.0,0.0,0.0,88.8,2017.0,9.0,14.0,1.0,0.0,0.0,0.0,89.25,0.0
2.0,0.0,0.0,4.0,0.0,0.0,1.0,115.4,2018.0,10.0,25.0,0.6,0.0,0.0,0.0,104.4,0.8
2.0,0.0,0.0,4.0,1.0,0.0,0.0,39.6,2017.0,12.0,28.0,0.6,0.0,0.0,0.0,62.21,0.6
2.0,0.0,2.0,5.0,0.0,0.0,2.0,155.6,2017.0,10.0,1.0,0.6,0.0,0.0,0.0,68.72,0.0
1.0,0.0,1.0,2.0,0.0,0.0,0.0,111.0,2018.0,7.0,1.0,0.8,0.0,0.0,0.0,75.0,0.0
1.0,0.0,1.0,3.0,0.0,0.0,0.0,122.8,2018.0,9.0,8.0,1.0,0.0,0.0,0.0,85.0,0.0
2.0,0.0,0.0,4.0,0.0,0.0,1.0,104.8,2018.0,8.0,31.0,1.0,0.0,0.0,0.0,118.15,1.0
3.0,0.0,0.0,1.0,0.0,0.0,1.0,64.6,2018.0,3.0,22.0,1.0,0.0,0.0,0.0,112.6,0.8
2.0,0.0,0.0,2.0,0.0,0.0,0.0,176.2,2018.0,8.0,7.0,1.0,0.0,0.0,0.0,122.04,0.0
1.0,0.0,0.0,2.0,1.0,0.0,0.0,73.2,2018.0,5.0,22.0,0.2,0.0,0.0,0.0,98.8,0.8
1.0,0.0,2.0,2.0,2.0,0.0,0.0,60.8,2018.0,2.0,27.0,0.6,0.0,0.0,0.0,76.0,0.6
2.0,0.0,0.0,3.0,0.0,0.0,0.0,113.0,2017.0,12.0,29.0,0.0,0.0,0.0,0.0,85.0,0.4
3.0,0.0,1.0,2.0,0.0,0.0,1.0,94.0,2018.0,7.0,25.0,0.6,0.0,0.0,0.0,115.71,2.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0,77.0,2018.0,9.0,15.0,0.6,0.0,0.0,0.0,120.0,0.6
2.0,1.0,1.0,2.0,0.0,0.0,2.0,83.8,2018.0,8.0,17.0,0.6,0.0,0.0,0.0,94.78,0.0
2.0,0.0,1.0,3.0,0.0,0.0,0.0,137.8,2017.0,9.0,12.0,0.0,0.0,0.0,0.0,95.0,0.0
2.0,0.0,2.0,3.0,0.0,0.0,0.0,137.8,2018.0,8.0,8.0,1.0,0.0,0.0,0.0,114.3,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0,94.0,2018.0,4.0,26.0,0.6,0.0,0.0,0.0,96.3,0.8
2.0,0.0,0.0,5.0,0.0,0.0,0.0,83.4,2017.0,11.0,13.0,0.4,0.0,0.0,0.0,70.0,0.0
2.0,0.0,1.0,3.0,2.0,0.0,0.0,71.0,2018.0,12.0,12.0,1.0,0.0,0.0,0.0,120.7,0.0
1.0,0.0,0.0,2.0,0.0,0.0,0.0,71.2,2018.0,3.0,29.0,0.0,0.0,0.0,0.0,90.0,0.8
2.0,0.0,0.0,3.0,1.0,0.0,0.0,119.4,2018.0,10.0,25.0,1.0,0.0,0.0,0.0,80.1,0.8
2.0,0.0,0.0,2.0,0.0,0.0,1.0,69.4,2018.0,10.0,31.0,0.6,0.0,0.0,0.0,132.3,0.8
2.0,0.0,2.0,2.0,0.0,0.0,0.0,141.6,2018.0,9.0,3.0,0.8,0.0,0.0,0.0,113.4,0.2
1.0,0.0,0.0,1.0,0.0,0.0,0.0,93.4,2018.0,10.0,30.0,1.0,0.0,0.0,0.0,95.0,0.6
2.0,0.0,0.0,3.0,0.0,0.0,0.0,137.8,2018.0,9.0,13.0,0.6,0.0,0.0,0.0,95.0,0.0
2.0,0.0,1.0,0.0,1.0,0.0,0.0,111.6,2018.0,8.0,27.0,0.6,0.0,0.0,0.0,85.5,0.6
2.0,0.0,0.0,2.0,0.0,1.0,1.0,81.8,2018.0,3.0,22.0,0.4,0.0,0.0,0.0,116.0,0.8
2.0,0.0,1.0,1.0,2.0,0.0,0.0,247.0,2018.0,6.0,6.0,0.0,1.0,1.0,0.0,115.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,1.0,160.6,2018.0,5.0,6.0,1.0,0.0,0.0,0.0,114.3,0.2
2.0,0.0,2.0,5.0,1.0,0.0,2.0,55.0,2017.0,8.0,14.0,0.2,0.0,0.0,0.0,85.29,0.0
2.0,0.0,0.0,1.0,2.0,0.0,0.0,187.0,2018.0,8.0,5.0,0.6,0.0,0.0,0.0,115.0,0.0
2.0,0.0,0.0,3.0,2.0,0.0,0.0,112.8,2018.0,8.0,9.0,0.8,0.0,0.0,0.0,123.25,0.0
2.0,0.0,2.0,2.0,0.0,0.0,0.0,78.2,2018.0,8.0,28.0,1.0,0.0,0.0,0.0,90.95,0.6
1.0,0.0,1.0,2.0,0.0,0.0,0.0,137.8,2018.0,9.0,11.0,0.6,0.0,0.0,0.0,96.0,0.0
2.0,0.0,0.0,4.0,0.0,0.0,1.0,89.8,2018.0,1.0,30.0,1.0,0.0,0.0,0.0,91.25,0.8
3.0,0.0,0.0,3.0,0.0,0.0,1.0,112.8,2018.0,7.0,9.0,1.0,0.0,0.0,0.0,148.5,0.6
2.0,0.0,0.0,4.0,0.0,0.0,0.0,133.0,2018.0,5.0,6.0,0.8,0.0,0.0,0.0,75.0,0.0
1.0,0.0,2.0,0.0,0.0,0.0,0.0,73.6,2018.0,10.0,23.0,0.2,0.0,0.0,0.0,90.0,0.4
2.0,0.0,1.0,3.0,2.0,0.0,0.0,168.8,2018.0,5.0,10.0,0.4,0.0,0.0,0.0,98.0,0.0
1.0,0.0,0.0,1.0,2.0,0.0,0.0,172.8,2018.0,6.0,6.0,1.0,0.0,0.0,0.0,90.0,0.0
2.0,1.0,0.0,4.0,0.0,0.0,1.0,148.8,2018.0,9.0,4.0,0.8,0.0,0.0,0.0,119.16,0.0
2.0,0.0,2.0,3.0,0.0,0.0,1.0,78.2,2018.0,5.0,31.0,0.6,0.0,0.0,0.0,90.95,0.8
1.0,0.0,2.0,5.0,0.0,0.0,0.0,145.0,2018.0,10.0,1.0,1.0,0.0,0.0,0.0,108.9,0.2
2.0,0.0,2.0,2.0,0.0,0.0,2.0,67.0,2018.0,6.0,19.0,0.6,0.0,0.0,0.0,109.83,1.0
2.0,0.0,2.0,5.0,0.0,0.0,0.0,89.8,2018.0,9.0,12.0,0.8,0.0,0.0,0.0,129.6,0.6
2.0,0.0,2.0,6.0,0.0,0.0,1.0,145.8,2018.0,5.0,1.0,1.0,0.0,0.0,0.0,132.6,0.8
1.0,2.0,0.0,1.0,0.0,0.0,1.0,238.0,2018.0,6.0,18.0,0.4,0.0,0.0,0.0,178.2,0.6
2.0,0.0,0.0,3.0,0.0,0.0,1.0,84.4,2018.0,8.0,23.0,1.0,0.0,0.0,0.0,121.8,0.8
2.0,1.0,2.0,1.0,0.0,0.0,0.0,87.6,2018.0,7.0,25.0,0.6,0.0,0.0,0.0,118.61800000000001,0.4
3.0,0.0,0.0,4.0,0.0,0.0,0.0,80.0,2018.0,8.0,11.0,0.6,0.0,0.0,0.0,86.36,0.0
2.0,1.0,1.0,2.0,0.0,0.0,0.0,66.6,2018.0,12.0,30.0,1.0,0.0,0.0,0.0,124.8,0.8
2.0,0.0,2.0,1.0,1.0,0.0,0.0,119.4,2018.0,8.0,28.0,0.6,0.0,0.0,0.0,75.0,1.0
2.0,0.0,0.0,3.0,1.0,0.0,0.0,112.8,2018.0,8.0,9.0,0.6,0.0,0.0,0.0,94.5,0.0
