no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests
2.0,0.0,2.0,2.0,0.0,0.0,0.0,102.57894736842105,2018.0,4.0,28.0,0.7453183520599251,0.0,0.0,0.0,104.52364779874215,0.4305555555555556
2.0,0.0,2.0,3.0,0.0,0.0,0.0,111.0,2018.0,2.0,7.0,0.7453183520599251,0.0,0.0,0.0,87.0,0.4305555555555556
2.0,1.0,0.0,1.0,0.0,1.0,0.0,102.57894736842105,2017.0,8.0,28.0,0.7453183520599251,0.0,0.0,0.0,164.0,0.4305555555555556
2.0,0.0,2.0,2.0,0.0,0.0,0.0,102.57894736842105,2018.0,3.0,7.0,0.7453183520599251,0.0,0.0,0.0,48.4,0.4305555555555556
2.0,0.0,2.0,4.0,0.0,0.0,0.0,102.57894736842105,2018.0,1.0,29.0,0.7453183520599251,0.0,0.0,0.0,60.0,0.4305555555555556
2.0,0.0,1.0,2.0,0.0,0.0,0.0,102.57894736842105,2018.0,1.0,1.0,0.7453183520599251,0.0,0.0,0.0,60.0,0.4305555555555556
2.0,0.0,2.0,3.0,0.0,0.0,0.0,102.57894736842105,2018.0,5.0,12.0,0.7453183520599251,0.0,0.0,0.0,110.0,0.4305555555555556
2.0,0.0,0.0,2.0,2.0,0.0,0.0,102.57894736842105,2018.0,3.0,18.0,0.7453183520599251,0.0,0.0,0.0,115.0,0.4305555555555556
2.0,0.0,2.0,3.0,0.0,0.0,0.0,102.57894736842105,2018.0,4.0,2.0,0.7453183520599251,0.0,0.0,0.0,104.52364779874215,0.4305555555555556
2.0,2.0,1.0,2.0,0.0,0.0,3.0,102.57894736842105,2018.0,10.0,10.0,1.0,0.0,0.0,0.0,190.8,0.4305555555555556
2.0,0.0,1.0,2.0,0.0,0.0,1.0,102.57894736842105,2018.0,10.0,26.0,0.7453183520599251,0.0,0.0,0.0,101.87,0.4305555555555556
2.0,0.0,2.0,4.0,0.0,0.0,1.0,102.57894736842105,2018.0,4.0,9.0,0.7453183520599251,0.0,0.0,0.0,95.2,0.4305555555555556
3.0,0.0,2.0,2.0,0.0,0.0,1.0,102.57894736842105,2018.0,7.0,31.0,1.0,0.0,0.0,0.0,142.2,0.4305555555555556
1.0,0.0,1.0,2.0,0.0,1.0,0.0,102.57894736842105,2018.0,12.0,12.0,2.0,1.0,2.0,18.0,67.0,0.4305555555555556
1.0,0.0,0.0,2.0,2.0,0.0,0.0,102.57894736842105,2017.0,9.0,4.0,0.7453183520599251,0.0,0.0,0.0,80.5,0.4305555555555556
2.0,0.0,2.0,2.0,0.0,0.0,0.0,102.57894736842105,2018.0,12.0,26.0,0.7453183520599251,0.0,0.0,0.0,54.09,0.4305555555555556
1.0,0.0,0.0,1.0,0.0,0.0,0.0,102.57894736842105,2018.0,7.0,7.0,2.0,0.0,0.0,0.0,89.0,0.4305555555555556
2.0,0.0,0.0,4.0,0.0,0.023628048780487805,0.0,102.57894736842105,2018.0,9.0,28.0,1.0,0.0,0.0,0.0,96.3,0.4305555555555556
2.0,0.0,1.0,3.0,0.0,0.0,0.0,102.57894736842105,2018.0,7.0,24.0,0.0,0.0,0.0,0.0,72.25,0.4305555555555556
2.0,0.0,2.0,2.0,0.0,0.0,0.0,102.57894736842105,2017.0,9.0,14.0,1.0,0.0,0.0,0.0,89.25,0.4305555555555556
2.0,0.0,0.0,4.0,0.0,0.0,1.0,102.57894736842105,2018.0,10.0,25.0,0.7453183520599251,0.0,0.0,0.0,104.4,0.4305555555555556
2.0,0.0,0.0,4.0,1.0,0.0,0.0,102.57894736842105,2017.0,12.0,28.0,0.7453183520599251,0.0,0.0,0.0,62.21,0.4305555555555556
2.0,0.0,2.0,5.0,0.0,0.0,2.0,102.57894736842105,2017.0,10.0,1.0,0.7453183520599251,0.0,0.0,0.0,68.72,0.4305555555555556
1.0,0.0,1.0,2.0,0.0,0.0,0.0,102.57894736842105,2018.0,7.0,1.0,0.7453183520599251,0.0,0.0,0.0,75.0,0.4305555555555556
1.0,0.0,1.0,3.0,0.0,0.0,0.0,102.57894736842105,2018.0,9.0,8.0,0.7453183520599251,0.0,0.0,0.0,85.0,0.4305555555555556
2.0,0.0,0.0,4.0,0.0,0.0,1.0,102.57894736842105,2018.0,8.0,31.0,1.0,0.0,0.0,0.0,118.15,1.0
3.0,0.0,0.0,1.0,0.0,0.0,1.0,102.57894736842105,2018.0,3.0,22.0,1.0,0.0,0.0,0.0,104.52364779874215,0.4305555555555556
2.0,0.0,0.0,2.0,0.0,0.0,0.0,102.57894736842105,2018.0,8.0,7.0,1.0,0.0,0.0,0.0,104.52364779874215,0.4305555555555556
1.0,0.0,0.0,2.0,1.0,0.0,0.0,102.57894736842105,2018.0,5.0,22.0,0.7453183520599251,0.0,0.0,0.0,98.8,0.4305555555555556
1.0,0.0,2.0,2.0,2.0,0.0,0.0,102.57894736842105,2018.0,2.0,27.0,0.7453183520599251,0.0,0.0,0.0,76.0,0.4305555555555556
2.0,0.0,0.0,3.0,0.0,0.0,0.0,102.57894736842105,2017.0,12.0,29.0,0.0,0.0,0.0,0.0,85.0,0.4305555555555556
3.0,0.0,1.0,2.0,0.0,0.0,1.0,94.0,2017.8550943396226,7.0,25.0,0.7453183520599251,0.0,0.0,0.0,104.52364779874215,2.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0,102.57894736842105,2018.0,9.0,15.0,0.7453183520599251,0.0,0.0,0.0,120.0,0.4305555555555556
2.0,1.0,1.0,2.0,0.0,0.0,2.0,102.57894736842105,2018.0,8.0,17.0,0.7453183520599251,0.0,0.0,0.0,94.78,0.4305555555555556
2.0,0.0,1.0,3.0,0.0,0.0,0.0,102.57894736842105,2017.0,9.0,12.0,0.0,0.0,0.0,0.0,95.0,0.4305555555555556
2.0,0.0,2.0,3.0,0.0,0.0,0.0,102.57894736842105,2018.0,8.0,8.0,1.0,0.0,0.0,0.0,114.3,0.4305555555555556
2.0,0.0,0.0,3.0,0.0,0.0,0.0,94.0,2018.0,4.0,26.0,0.7453183520599251,0.0,0.0,0.0,96.3,0.4305555555555556
2.0,0.0,0.0,5.0,0.0,0.0,0.0,102.57894736842105,2017.0,11.0,13.0,0.7453183520599251,0.0,0.0,0.0,70.0,0.4305555555555556
2.0,0.0,1.0,3.0,2.0,0.0,0.0,102.57894736842105,2018.0,12.0,12.0,1.0,0.0,0.0,0.0,120.7,0.4305555555555556
1.0,0.0,0.0,2.0,0.0,0.0,0.0,102.57894736842105,2018.0,3.0,29.0,0.0,0.0,0.0,0.0,90.0,0.4305555555555556
