no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests
2,0,2,2,0,0.0,0,0.0,2018.0,4,28,0.0,0.0,0,0,0.0,0.0
2,0,2,3,0,0.0,0,111.0,2018.0,2,7,0.0,0.0,0,0,87.0,0.0
2,1,0,1,0,1.0,0,0.0,2017.0,8,28,0.0,0.0,0,0,164.0,0.0
2,0,2,2,0,0.0,0,0.0,2018.0,3,7,0.0,0.0,0,0,48.4,0.0
2,0,2,4,0,0.0,0,0.0,2018.0,1,29,0.0,0.0,0,0,60.0,0.0
2,0,1,2,0,0.0,0,0.0,2018.0,1,1,0.0,0.0,0,0,60.0,0.0
2,0,2,3,0,0.0,0,0.0,2018.0,5,12,0.0,0.0,0,0,110.0,0.0
2,0,0,2,2,0.0,0,0.0,2018.0,3,18,0.0,0.0,0,0,115.0,0.0
2,0,2,3,0,0.0,0,0.0,2018.0,4,2,0.0,0.0,0,0,0.0,0.0
2,2,1,2,0,0.0,3,0.0,2018.0,10,10,1.0,0.0,0,0,190.8,0.0
2,0,1,2,0,0.0,1,0.0,2018.0,10,26,0.0,0.0,0,0,101.87,0.0
2,0,2,4,0,0.0,1,0.0,2018.0,4,9,0.0,0.0,0,0,95.2,0.0
3,0,2,2,0,0.0,1,0.0,2018.0,7,31,1.0,0.0,0,0,142.2,0.0
1,0,1,2,0,1.0,0,0.0,2018.0,12,12,2.0,1.0,2,18,67.0,0.0
1,0,0,2,2,0.0,0,0.0,2017.0,9,4,0.0,0.0,0,0,80.5,0.0
2,0,2,2,0,0.0,0,0.0,2018.0,12,26,0.0,0.0,0,0,54.09,0.0
1,0,0,1,0,0.0,0,0.0,2018.0,7,7,2.0,0.0,0,0,89.0,0.0
2,0,0,4,0,0.0,0,0.0,2018.0,9,28,1.0,0.0,0,0,96.3,0.0
2,0,1,3,0,0.0,0,0.0,2018.0,7,24,0.0,0.0,0,0,72.25,0.0
2,0,2,2,0,0.0,0,0.0,2017.0,9,14,1.0,0.0,0,0,89.25,0.0
2,0,0,4,0,0.0,1,0.0,2018.0,10,25,0.0,0.0,0,0,104.4,0.0
2,0,0,4,1,0.0,0,0.0,2017.0,12,28,0.0,0.0,0,0,62.21,0.0
2,0,2,5,0,0.0,2,0.0,2017.0,10,1,0.0,0.0,0,0,68.72,0.0
1,0,1,2,0,0.0,0,0.0,2018.0,7,1,0.0,0.0,0,0,75.0,0.0
1,0,1,3,0,0.0,0,0.0,2018.0,9,8,0.0,0.0,0,0,85.0,0.0
2,0,0,4,0,0.0,1,0.0,2018.0,8,31,1.0,0.0,0,0,118.15,1.0
3,0,0,1,0,0.0,1,0.0,2018.0,3,22,1.0,0.0,0,0,0.0,0.0
2,0,0,2,0,0.0,0,0.0,2018.0,8,7,1.0,0.0,0,0,0.0,0.0
1,0,0,2,1,0.0,0,0.0,2018.0,5,22,0.0,0.0,0,0,98.8,0.0
1,0,2,2,2,0.0,0,0.0,2018.0,2,27,0.0,0.0,0,0,76.0,0.0
2,0,0,3,0,0.0,0,0.0,2017.0,12,29,0.0,0.0,0,0,85.0,0.0
3,0,1,2,0,0.0,1,94.0,2017.0,7,25,0.0,0.0,0,0,0.0,2.0
2,0,0,3,0,0.0,0,0.0,2018.0,9,15,0.0,0.0,0,0,120.0,0.0
2,1,1,2,0,0.0,2,0.0,2018.0,8,17,0.0,0.0,0,0,94.78,0.0
2,0,1,3,0,0.0,0,0.0,2017.0,9,12,0.0,0.0,0,0,95.0,0.0
2,0,2,3,0,0.0,0,0.0,2018.0,8,8,1.0,0.0,0,0,114.3,0.0
2,0,0,3,0,0.0,0,94.0,2018.0,4,26,0.0,0.0,0,0,96.3,0.0
2,0,0,5,0,0.0,0,0.0,2017.0,11,13,0.0,0.0,0,0,70.0,0.0
2,0,1,3,2,0.0,0,0.0,2018.0,12,12,1.0,0.0,0,0,120.7,0.0
1,0,0,2,0,0.0,0,0.0,2018.0,3,29,0.0,0.0,0,0,90.0,0.0
2,0,0,3,1,0.0,0,0.0,2018.0,10,25,1.0,0.0,0,0,80.1,0.0
2,0,0,2,0,0.0,1,0.0,2018.0,10,31,0.0,0.0,0,0,132.3,0.0
2,0,2,2,0,0.0,0,0.0,2018.0,9,3,0.0,0.0,0,0,113.4,0.0
1,0,0,1,0,0.0,0,0.0,2018.0,10,30,0.0,0.0,0,0,95.0,0.0
2,0,0,3,0,0.0,0,0.0,2018.0,9,13,0.0,0.0,0,0,95.0,0.0
2,0,1,0,1,0.0,0,0.0,2018.0,8,27,0.0,0.0,0,0,85.5,0.0
2,0,0,2,0,1.0,1,0.0,2018.0,3,22,0.0,0.0,0,0,116.0,0.0
2,0,1,1,2,0.0,0,247.0,2018.0,6,6,0.0,1.0,1,0,115.0,0.0
2,0,0,3,0,0.0,1,0.0,2018.0,5,6,1.0,0.0,0,0,114.3,0.0
2,0,2,5,1,0.0,2,0.0,2017.0,8,14,0.0,0.0,0,0,85.29,0.0
2,0,0,1,2,0.0,0,0.0,2018.0,8,5,0.0,0.0,0,0,115.0,0.0
2,0,0,3,2,0.0,0,0.0,2018.0,8,9,0.0,0.0,0,0,123.25,0.0
2,0,2,2,0,0.0,0,0.0,2018.0,8,28,1.0,0.0,0,0,90.95,0.0
1,0,1,2,0,0.0,0,0.0,2018.0,9,11,0.0,0.0,0,0,96.0,0.0
2,0,0,4,0,0.0,1,0.0,2018.0,1,30,1.0,0.0,0,0,91.25,0.0
3,0,0,3,0,0.0,1,0.0,2018.0,7,9,1.0,0.0,0,0,148.5,0.0
2,0,0,4,0,0.0,0,0.0,2018.0,5,6,0.0,0.0,0,0,75.0,0.0
1,0,2,0,0,0.0,0,0.0,2018.0,10,23,0.0,0.0,0,0,90.0,0.0
2,0,1,3,2,0.0,0,0.0,2018.0,5,10,0.0,0.0,0,0,98.0,0.0
1,0,0,1,2,0.0,0,0.0,2018.0,6,6,0.0,0.0,0,0,90.0,0.0
2,1,0,4,0,0.0,1,0.0,2017.0,9,4,0.0,0.0,0,0,119.16,0.0
2,0,2,3,0,0.0,1,0.0,2017.0,5,31,0.0,0.0,0,0,90.95,0.0
1,0,2,5,0,0.0,0,0.0,2018.0,10,1,1.0,0.0,0,0,108.9,0.0
2,0,2,2,0,0.0,2,0.0,2018.0,6,19,0.0,0.0,0,0,109.83,1.0
2,0,2,5,0,0.0,0,0.0,2018.0,9,12,0.0,0.0,0,0,129.6,0.0
2,0,2,6,0,0.0,1,0.0,2018.0,5,1,0.0,0.0,0,0,132.6,0.0
1,2,0,1,0,0.0,1,238.0,2018.0,6,18,0.0,0.0,0,0,178.2,0.0
2,0,0,3,0,0.0,1,0.0,2018.0,8,23,1.0,0.0,0,0,121.8,0.0
2,1,2,1,0,0.0,0,0.0,2018.0,7,25,0.0,0.0,0,0,0.0,0.0
3,0,0,4,0,0.0,0,0.0,2018.0,8,11,0.0,0.0,0,0,86.36,0.0
2,1,1,2,0,0.0,0,0.0,2018.0,12,30,0.0,0.0,0,0,124.8,0.0
2,0,2,1,1,0.0,0,0.0,2018.0,8,28,0.0,0.0,0,0,75.0,0.0
2,0,0,3,1,0.0,0,0.0,2018.0,8,9,0.0,0.0,0,0,94.5,0.0
2,0,2,3,2,0.0,0,0.0,2018.0,10,16,1.0,0.0,0,0,100.75,0.0
2,0,1,1,0,0.0,0,0.0,2018.0,5,30,0.0,0.0,0,0,89.75,0.0
2,0,2,2,0,0.0,0,0.0,2018.0,4,22,0.0,0.0,0,0,99.3,0.0
2,0,0,2,2,0.0,0,0.0,2017.0,7,18,0.0,0.0,0,0,94.5,0.0
2,0,1,4,0,0.0,0,60.0,2018.0,9,12,0.0,0.0,0,0,75.0,0.0
2,1,0,1,0,0.0,0,0.0,2018.0,12,26,0.0,0.0,0,0,149.0,0.0
2,0,2,5,0,0.0,0,0.0,2017.0,8,13,1.0,0.0,0,0,76.5,0.0
2,1,0,1,0,0.0,0,0.0,2018.0,3,24,1.0,0.0,0,0,159.0,0.0
2,0,0,4,0,0.0,0,0.0,2017.0,11,1,0.0,0.0,0,0,88.8,0.0
2,0,1,1,0,0.0,0,0.0,2018.0,8,19,0.0,0.0,0,0,72.0,0.0
2,0,0,0,0,0.0,5,0.0,2018.0,5,21,0.0,0.0,0,0,0.0,0.0
1,0,0,1,0,0.0,0,0.0,2018.0,2,19,2.0,1.0,0,1,66.0,0.0
2,0,0,4,0,1.0,1,0.0,2018.0,4,26,0.0,0.0,0,0,94.78,0.0
2,0,2,3,1,0.0,0,0.0,2018.0,10,20,0.0,0.0,0,0,84.15,0.0
2,0,1,1,0,0.0,0,0.0,2018.0,8,8,1.0,0.0,0,0,114.3,0.0
2,0,2,2,0,0.0,1,0.0,2018.0,8,19,0.0,0.0,0,0,122.4,0.0
1,0,0,3,0,0.0,0,0.0,2018.0,9,6,0.0,0.0,0,0,112.0,0.0
2,0,0,1,1,0.0,0,0.0,2018.0,7,18,0.0,0.0,0,0,89.25,0.0
2,0,2,3,0,0.0,0,67.0,2017.0,4,1,0.0,0.0,0,0,80.0,0.0
2,0,1,2,0,0.0,0,0.0,2018.0,8,1,0.0,0.0,0,0,72.25,0.0
2,0,0,2,0,1.0,2,0.0,2017.0,12,16,1.0,0.0,0,0,91.5,0.0
